110803.00;5000.44782;N;01426.84201;E;302.7;0.037;+033.59;0097089;;
110804.00;5000.44781;N;01426.84200;E;302.7;0.098;+033.61;0097089;;
110805.00;5000.44780;N;01426.84198;E;302.7;0.008;+033.50;0097087;;
110806.00;5000.44779;N;01426.84197;E;302.6;0.075;+033.29;0097089;;
110807.00;5000.44779;N;01426.84196;E;302.6;0.184;+033.20;0097090;;
110808.00;5000.44778;N;01426.84195;E;302.5;0.266;+033.29;0097090;;
110809.00;5000.44776;N;01426.84193;E;302.4;0.130;+033.40;0097094;;
110810.00;5000.44774;N;01426.84191;E;302.3;0.069;+033.47;0097093;;
110811.00;5000.44774;N;01426.84190;E;302.2;0.034;+033.43;0097095;;
110812.00;5000.44773;N;01426.84189;E;302.2;0.099;+033.31;0097089;;
110813.00;5000.44773;N;01426.84187;E;302.1;0.338;+033.25;0097096;;
110814.00;5000.44772;N;01426.84188;E;302.1;0.155;+033.27;0097092;;
110815.00;5000.44772;N;01426.84188;E;302.1;0.047;+033.27;0097096;;
110816.00;5000.44773;N;01426.84188;E;302.1;0.111;+033.15;0097089;;
110817.00;5000.44773;N;01426.84188;E;302.1;0.046;+033.20;0097093;;
110818.00;5000.44774;N;01426.84190;E;302.1;0.022;+033.25;0097095;;
110819.00;5000.44774;N;01426.84190;E;302.1;0.035;+033.25;0097093;;
110820.00;5000.44775;N;01426.84192;E;302.2;0.096;+033.31;0097094;;
110821.00;5000.44774;N;01426.84191;E;302.1;0.063;+033.33;0097099;;
110822.00;5000.44777;N;01426.84190;E;302.2;0.129;+033.31;0097094;;
110823.00;5000.44777;N;01426.84191;E;302.2;0.018;+033.25;0097092;;
110824.00;5000.44778;N;01426.84193;E;302.3;0.076;+033.31;0097095;;
110825.00;5000.44779;N;01426.84195;E;302.3;0.062;+033.24;0097097;;
110826.00;5000.44779;N;01426.84194;E;302.4;0.108;+033.20;0097096;;
110827.00;5000.44779;N;01426.84194;E;302.4;0.044;+033.27;0097095;;
110828.00;5000.44781;N;01426.84194;E;302.5;0.109;+033.31;0097094;;
110829.00;5000.44784;N;01426.84194;E;302.7;0.081;+033.38;0097093;;
110830.00;5000.44784;N;01426.84194;E;302.8;0.067;+033.45;0097093;;
110831.00;5000.44786;N;01426.84195;E;302.8;0.085;+033.45;0097091;;
110832.00;5000.44789;N;01426.84194;E;302.9;0.058;+033.36;0097096;;
110833.00;5000.44790;N;01426.84194;E;302.9;0.060;+033.34;0097094;;
110834.00;5000.44788;N;01426.84195;E;302.9;0.101;+033.43;0097093;;
110835.00;5000.44790;N;01426.84194;E;303.0;0.097;+033.50;0097096;;
110836.00;5000.44791;N;01426.84191;E;303.1;0.043;+033.52;0097102;;
110837.00;5000.44791;N;01426.84189;E;303.1;0.092;+033.58;0097100;;
110838.00;5000.44791;N;01426.84186;E;303.2;0.096;+033.61;0097093;;
110839.00;5000.44791;N;01426.84185;E;303.2;0.093;+033.61;0097093;;
110840.00;5000.44791;N;01426.84183;E;303.3;0.092;+033.63;0097094;;
110841.00;5000.44791;N;01426.84180;E;303.3;0.081;+033.65;0097096;;
110842.00;5000.44789;N;01426.84177;E;303.3;0.099;+033.65;0097095;;
110843.00;5000.44793;N;01426.84176;E;303.5;0.208;+033.66;0097095;;
110844.00;5000.44793;N;01426.84175;E;303.6;0.048;+033.70;0097093;;
110845.00;5000.44792;N;01426.84173;E;303.6;0.039;+033.75;0097099;;
110846.00;5000.44791;N;01426.84170;E;303.7;0.051;+033.79;0097107;;
110847.00;5000.44789;N;01426.84168;E;303.7;0.125;+033.77;0097110;;
110848.00;5000.44788;N;01426.84166;E;303.8;0.086;+033.84;0097108;;
